Species,飞行时间,质量数 (m/z),强度,左边界,右边界
Unknown,8325.68,30.98,2.0,8320.0,8332.0
Unknown,8471.06,31.96,239.0,8467.0,8475.0
Unknown,10208.15,44.96,59.0,10204.0,10213.0
Unknown,10807.13,49.95,57.0,10803.0,10812.0
Unknown,10924.49,50.96,11.0,10921.0,10928.0
Unknown,12847.27,68.93,24.0,12843.0,12852.0
Unknown,12954.47,70.01,9.0,12950.0,12960.0
Unknown,13713.78,77.91,44.0,13708.0,13719.0
Unknown,14084.0,81.92,2.0,14069.0,14100.0
Unknown,14273.35,84.01,6.0,14267.0,14283.0
Unknown,15642.31,99.88,66.0,15638.0,15648.0
Unknown,15725.35,100.89,4.0,15723.0,15728.0
Unknown,16615.43,112.0,133.0,16609.0,16621.0
Unknown,16693.8,113.01,58.0,16688.0,16699.0
Unknown,17445.07,122.88,5.0,17438.0,17456.0
Unknown,18029.08,130.85,689.0,18024.0,18035.0
Unknown,18101.12,131.85,16.0,18096.0,18108.0
Unknown,19287.8,148.86,77.0,19282.0,19294.0
Unknown,19354.98,149.85,10.0,19349.0,19362.0
Unknown,19421.51,150.84,4.0,19412.0,19434.0
Unknown,19695.09,154.93,3.0,19684.0,19705.0
Unknown,20471.11,166.85,160.0,20465.0,20478.0
Unknown,20534.77,167.84,12.0,20529.0,20542.0
Unknown,20595.45,168.8,11.0,20589.0,20604.0
Unknown,21344.12,180.78,23.0,21339.0,21350.0
Unknown,21717.8,186.91,1.0,21713.0,21723.0
Unknown,22481.03,199.75,15.0,22474.0,22490.0
Unknown,23564.87,218.73,6.0,23558.0,23572.0
Unknown,23793.1,222.83,5.0,23786.0,23802.0
Unknown,25236.76,249.68,876.55,25230.0,25244.0
Unknown,25289.15,250.69,57.0,25284.0,25295.0
Unknown,25561.19,255.93,5.0,25553.0,25573.0
Unknown,25813.48,260.84,11.0,25807.0,25820.0
Unknown,25864.72,261.84,4.0,25859.0,25871.0
Unknown,26058.82,265.65,50.0,26051.0,26067.0
Unknown,26109.72,266.66,6.0,26105.0,26119.0
Unknown,26615.29,276.75,25.0,26609.0,26622.0
Unknown,26663.0,277.71,13.0,26660.0,26672.0
Unknown,26717.93,278.82,314.0,26711.0,26725.0
Unknown,26767.37,279.82,68.0,26762.0,26774.0
Unknown,26816.0,280.8,8.0,26812.0,26825.0
